====== binance【2022-01-01前上市交易的合约 数量：119】 ======
symbol,priceTick,variableCommission,slippage,min_volume,start_dt
BCHUSDT.BINANCE,0.01,0.0004,1,0.001,2020-01-02 00:00:00
ADAUSDT.BINANCE,0.00010,0.0004,1,1,2020-01-31 16:01:00
ATOMUSDT.BINANCE,0.001,0.0004,1,0.01,2020-02-07 20:11:00
BATUSDT.BINANCE,0.0001,0.0004,1,0.1,2020-02-13 16:05:00
ALGOUSDT.BINANCE,0.0001,0.0004,1,0.1,2020-06-16 17:01:00
BANDUSDT.BINANCE,0.0001,0.0004,1,0.1,2020-07-29 15:00:00
BALUSDT.BINANCE,0.001,0.0004,1,0.1,2020-09-01 15:01:00
AVAXUSDT.BINANCE,0.0010,0.0004,1,1,2020-09-23 15:00:00
AAVEUSDT.BINANCE,0.010,0.0004,1,0.1,2020-10-16 15:00:00
BELUSDT.BINANCE,0.00010,0.0004,1,1,2020-11-18 15:00:00
AXSUSDT.BINANCE,0.00100,0.0004,1,1,2020-11-20 15:04:00
ALPHAUSDT.BINANCE,0.00001,0.0004,1,1,2020-11-23 15:00:00
SNXUSDT.BINANCE,0.001,0.0004,1,0.1,2020-12-01 00:00:00
SOLUSDT.BINANCE,0.0010,0.0004,1,1,2020-12-01 00:00:00
FTMUSDT.BINANCE,0.000100,0.0004,1,1,2020-12-01 00:00:00
STORJUSDT.BINANCE,0.0001,0.0004,1,1,2020-12-01 00:00:00
ZRXUSDT.BINANCE,0.0001,0.0004,1,0.1,2020-12-01 00:00:00
FILUSDT.BINANCE,0.001,0.0004,1,0.1,2020-12-01 00:00:00
ETHUSDT.BINANCE,0.01,0.0004,1,0.001,2020-12-01 00:00:00
ETCUSDT.BINANCE,0.001,0.0004,1,0.01,2020-12-01 00:00:00
EOSUSDT.BINANCE,0.001,0.0004,1,0.1,2020-12-01 00:00:00
ENJUSDT.BINANCE,0.00010,0.0004,1,1,2020-12-01 00:00:00
EGLDUSDT.BINANCE,0.010,0.0004,1,0.1,2020-12-01 00:00:00
OCEANUSDT.BINANCE,0.00010,0.0004,1,1,2020-12-01 00:00:00
DOTUSDT.BINANCE,0.001,0.0004,1,0.1,2020-12-01 00:00:00
DOGEUSDT.BINANCE,0.000010,0.0004,1,1,2020-12-01 00:00:00
DEFIUSDT.BINANCE,0.1,0.0004,1,0.001,2020-12-01 00:00:00
FLMUSDT.BINANCE,0.0001,0.0004,1,1,2020-12-01 00:00:00
SUSHIUSDT.BINANCE,0.0001,0.0004,1,1,2020-12-01 00:00:00
RUNEUSDT.BINANCE,0.0010,0.0004,1,1,2020-12-01 00:00:00
DASHUSDT.BINANCE,0.01,0.0004,1,0.001,2020-12-01 00:00:00
OMGUSDT.BINANCE,0.0001,0.0004,1,0.1,2020-12-01 00:00:00
NEOUSDT.BINANCE,0.001,0.0004,1,0.01,2020-12-01 00:00:00
NEARUSDT.BINANCE,0.0010,0.0004,1,1,2020-12-01 00:00:00
MKRUSDT.BINANCE,0.10,0.0004,1,0.001,2020-12-01 00:00:00
ONTUSDT.BINANCE,0.0001,0.0004,1,0.1,2020-12-01 00:00:00
MATICUSDT.BINANCE,0.00010,0.0004,1,1,2020-12-01 00:00:00
QTUMUSDT.BINANCE,0.001,0.0004,1,0.1,2020-12-01 00:00:00
LTCUSDT.BINANCE,0.01,0.0004,1,0.001,2020-12-01 00:00:00
LRCUSDT.BINANCE,0.00010,0.0004,1,1,2020-12-01 00:00:00
LINKUSDT.BINANCE,0.001,0.0004,1,0.01,2020-12-01 00:00:00
RENUSDT.BINANCE,0.00001,0.0004,1,1,2020-12-01 00:00:00
RLCUSDT.BINANCE,0.0001,0.0004,1,0.1,2020-12-01 00:00:00
KSMUSDT.BINANCE,0.010,0.0004,1,0.1,2020-12-01 00:00:00
KNCUSDT.BINANCE,0.00010,0.0004,1,1,2020-12-01 00:00:00
